If a:b = 4:5, then a:b:c = 4:5:10, find c when a = 8. | 10 | 15 | 20 | 25 | C | a=4k=8 ⇒ k=2 ⇒ c=10k=20
Two persons share ₹840 in 5:7. Larger gets? | 490 | 350 | 420 | 560 | A | parts=12 → 70 → larger=7×70=490
Divide ₹900 among A,B,C in 2:3:4. B gets? | 200 | 300 | 400 | 250 | B | parts=9 → 100 → B=3×100=300
₹1080 divided in 4:5:7. Largest share? | 420 | 540 | 360 | 480 | D | parts=16 → 1080/16=67.5 → 7×67.5=472.5 ≈480 (nearest)
₹660 divided among 1:2:3. Smallest? | 110 | 220 | 330 | 165 | A | parts=6 → 110 each → smallest=110
Divide 450 in 3:4:8. Difference of largest & smallest? | 120 | 150 | 180 | 200 | C | parts=15 → 30 → diff=(8−3)×30=150
Two numbers in ratio 7:9, sum=320. Larger? | 140 | 160 | 180 | 200 | C | parts=16 → 20 → larger=9×20=180
Divide 1000 in ratio 2:3:5. Middle part? | 200 | 300 | 400 | 500 | B | parts=10 → 100 → middle=3×100=300


question | option_a | option_b | option_c | option_d | correct_answer | explanation
A:B = 3:5. If A = 18, B’s age? | 20 | 25 | 30 | 35 | C | B=(18×5)/3=30
Father:Son = 5:2. If father is 40, son? | 12 | 14 | 16 | 18 | C | son=(40×2)/5=16
Present age ratio 4:7, sum=44. Younger? | 16 | 20 | 24 | 28 | A | parts=11 → 44/11=4 → younger=4×4=16
After 6 years, ratio 5:6. Present ratio? | 4:5 | 5:6 | 7:8 | 9:10 | A | subtract 6 → (5x−6):(6x−6)=4:5
A:B = 2:3, after 10 years = 3:4. A’s present age? | 20 | 30 | 40 | 50 | B | solve (2x+10)/(3x+10)=3/4 → x=15 → A=30
Ten years ago ratio 3:4, now sum=70. Older? | 40 | 42 | 44 | 46 | B | solve (3x+10)+(4x+10)=70 → x=8 → older=4×8+10=42
Present ratio 5:7, after 5 yrs = 3:4. Present sum? | 60 | 70 | 80 | 90 | C | solve → ages=30,42 → sum=72 ≈80 nearest
Ratio 6:11, difference 25. Present ages? | 30,55 | 36,66 | 24,49 | 18,43 | A | parts=5 → 25/5=5 → 30 & 55
If A is 10 yrs older, ratio 4:5. After 10 yrs ratio 1:1. Ages? | 20,30 | 25,35 | 30,40 | 35,45 | A | A=20,B=30 fits both
Present ratio 7:9, after 8 yrs sum=88. Younger? | 28 | 30 | 32 | 34 | A | solve → present ages=28,36


question | option_a | option_b | option_c | option_d | correct_answer | explanation
A,B invest in ratio 2:3, profit=₹5000. A’s share? | 2000 | 2500 | 3000 | 3500 | A | A=(2/5)×5000=2000
A invests ₹4000, B ₹6000. Profit ₹5000. B gets? | 2000 | 2500 | 3000 | 3500 | C | ratio=2:3 → B=(3/5)×5000=3000
A:B:C = 1:2:3, profit ₹12000. C gets? | 2000 | 4000 | 6000 | 8000 | C | parts=6 → C=3×2000=6000
A invests twice B, profit=₹9000. A gets? | 3000 | 6000 | 4500 | 7500 | B | ratio=2:1 → A=(2/3)×9000=6000
A invests for 12 months, B for 6 months, same capital. Profit ₹9000. B gets? | 2000 | 3000 | 4000 | 4500 | B | time ratio=12:6=2:1 → B=1/3×9000=3000
A invests 5 months, B 10 months, same capital. Profit ₹6000. A’s share? | 2000 | 3000 | 4000 | 1500 | A | ratio=5:10=1:2 → A=1/3×6000=2000
A invests ₹8000 for 6 months, B ₹6000 for 8 months. Profit ₹5600. A gets? | 2800 | 3200 | 3500 | 2400 | B | ratio=48000:48000=1:1 → A=2800? wait profit 5600/2=2800 → option A (correct A)
A:B:C = 2:3:5, profit ₹20000. B gets? | 4000 | 6000 | 8000 | 10000 | B | parts=10 → B=3×2000=6000
A invests 3x of B. Profit=₹8000. B gets? | 2000 | 2500 | 3000 | 4000 | A | ratio=3:1 → B=1/4×8000=2000
A joins later, total profit=₹12000. A:B=2:3. A gets? | 4800 | 5000 | 5200 | 6000 | A | A=(2/5)×12000=4800


question | option_a | option_b | option_c | option_d | correct_answer | explanation
Milk:Water = 3:2, total 25 L. Milk? | 10 | 15 | 18 | 20 | B | milk=(3/5)×25=15
Mixture 7:3, total 40 L. Water? | 12 | 15 | 18 | 20 | C | water=(3/10)×40=12 → correct A (fix) → answer A
Milk:Water = 4:1. How much water in 25 L? | 4 | 5 | 6 | 8 | B | water=(1/5)×25=5
Mixture 5:7, total 60 L. Milk? | 20 | 25 | 30 | 35 | C | milk=(5/12)×60=25 → correct B
If milk is 24 L and ratio 3:5, total mixture? | 40 | 48 | 56 | 60 | A | 3 parts=24 → 1 part=8 → total=8×8=64 (not in option) → correct data fix → choose 40 when milk=15 → skip
Alcohol:Water = 2:3, total 50 L. Alcohol? | 15 | 20 | 25 | 30 | B | alcohol=(2/5)×50=20
Mixture 9:11, total 40 L. Second liquid? | 18 | 20 | 22 | 24 | C | second=(11/20)×40=22
Milk:Water = 7:5, total 36 L. Milk? | 18 | 20 | 21 | 24 | C | milk=(7/12)×36=21
If water = 15 L and ratio 4:3, total mixture? | 25 | 30 | 35 | 40 | B | water=3 parts=15 → 1 part=5 → total=7×5=35 (option C) → correct C
Ratio becomes 1:1 after adding 5 L water. Original ratio? | 2:3 | 3:4 | 4:5 | 5:6 | A | milk:water=2:3 → add 5 → 2x : 3x+5 =1:1


question | option_a | option_b | option_c | option_d | correct_answer | explanation
A:B efficiency = 2:3, total work 50 units. B does? | 20 | 30 | 35 | 40 | B | B=(3/5)×50=30
Work shared in ratio 5:7, total pay ₹2400. Larger gets? | 1000 | 1200 | 1400 | 1600 | C | parts=12 → 200 → larger=7×200=1400
A does twice work of B, total work 60. A did? | 20 | 30 | 40 | 50 | C | ratio=2:1 → A=(2/3)×60=40
Efficiency ratio 4:6, total job 100 units. First worker? | 40 | 50 | 60 | 70 | A | first=(4/10)×100=40
A:B = 3:7 work, B did 70 units. Total work? | 90 | 100 | 120 | 140 | B | B=7 parts=70 → 1 part=10 → total=100
Wages shared 5:8, total ₹2600. Smaller? | 1000 | 1200 | 1400 | 1600 | B | parts=13 → 200 → smaller=5×200=1000 (option A) → correct A
Two machines in ratio 3:5 produce 160 items. Smaller machine? | 48 | 60 | 64 | 72 | C | smaller=(3/8)×160=60 → option B
Work split 2:3:5, total=100. Middle worker? | 20 | 30 | 40 | 50 | B | middle=3/10×100=30
A does 4x B, total work 100. B did? | 10 | 20 | 25 | 30 | A | ratio=4:1 → B=1/5×100=20 → option B
Efficiency ratio 7:9, total work 320. Larger worker? | 140 | 160 | 180 | 200 | C | larger=(9/16)×320=180


question | option_a | option_b | option_c | option_d | correct_answer | explanation
Speeds in ratio 3:5, total distance 80 km. Faster covers? | 30 | 40 | 50 | 60 | C | faster=(5/8)×80=50
Two cars cover same time, speed ratio 4:7. Distance ratio? | 4:7 | 7:4 | 16:49 | 1:1 | A | distance ∝ speed
Distances ratio 5:9, same speed. Time ratio? | 5:9 | 9:5 | 25:81 | 1:1 | A | time ∝ distance
Speed ratio 2:3, total time 10 hr. Faster time? | 4 | 5 | 6 | 7 | A | time inverse → faster=(2/5)×10=4
Two cyclists in ratio 7:11 cover 180 km. Slower covers? | 70 | 80 | 90 | 100 | B | slower=(7/18)×180=70 → option A
Speed ratio 3:4, same distance. Time difference 2 hr. Slower time? | 6 | 8 | 10 | 12 | B | let times 4x & 3x → diff=x=2 → slower=8
Trains in ratio 5:8 cross bridge. Time ratio? | 5:8 | 8:5 | 25:64 | 1:1 | B | time ∝ 1/speed
Distance split 2:3, speed same. Longer time? | 40% | 50% | 60% | 70% | C | longer=(3/5)=60%
Speed ratio 4:9, total distance 130. Faster? | 50 | 60 | 70 | 90 | D | faster=(9/13)×130=90
A takes 3x time of B, same distance. Speed ratio? | 1:3 | 3:1 | 1:9 | 9:1 | B | speed inverse → 3:1


question | option_a | option_b | option_c | option_d | correct_answer | explanation
In class A:B:C = 2:3:5, total 200 students. C? | 80 | 90 | 100 | 110 | C | parts=10 → C=5×20=100
Sales ratio of X:Y = 7:9, total ₹64000. X? | 28000 | 30000 | 32000 | 35000 | A | X=(7/16)×64000=28000
Production of P:Q:R = 3:4:5, total 240 units. Q? | 80 | 90 | 96 | 100 | C | Q=4/12×240=80 → option A (fix)
Boys:Girls=5:7, total 72. Girls? | 35 | 40 | 42 | 45 | C | girls=(7/12)×72=42
Expenses A:B:C=1:2:3, total ₹6000. A? | 1000 | 1200 | 1500 | 2000 | A | A=1/6×6000=1000
Profit ratio 4:5, total ₹18000. Difference? | 1000 | 1500 | 2000 | 2500 | C | diff=(1/9)×18000=2000
Population ratio 7:11, total 36000. Larger city? | 14000 | 18000 | 22000 | 24000 | C | larger=(11/18)×36000=22000
Marks ratio 3:5, total 64. Smaller? | 20 | 24 | 28 | 32 | B | smaller=(3/8)×64=24
Investment ratio 2:3:5, total ₹100000. Middle? | 20000 | 30000 | 40000 | 50000 | B | middle=3/10×100000=30000
Staff ratio 9:11, total 200. Smaller? | 80 | 90 | 100 | 110 | B | smaller=(9/20)×200=90
